"","fragment.ID","treatment","AFDW.mg.cm2.","chlA.ugcm2","surface.area","zoox.per.cm2","Topt","Pmax","PC1"
"1","PV_1","enriched",9.7849,1.289085072,54.15,0.828667921,29.8136024592316,0.857122574824351,0.321845078133599
"2","PV_2","enriched",12.4799,1.973041625,73.85,0.815822467,32.2840412602053,1.05388889598644,2.14783638369967
"3","PV_3","enriched",11.2992,1.363743438,84.67,0.88976378,33.053929010519,0.927209697976367,1.15055932018372
"4","PV_4","enriched",11.8992,2.487501168,52.84,0.933250584,32.4811496528724,0.952623225295217,2.23975139614922
"5","PV_5","enriched",11.8222,1.297819663,68.94,1.206393266,32.5196601990754,0.98240791152392,2.05546063387796
"6","PV_6","enriched",13.9637,0.559733783,64.52,0.916597302,31.1178124743012,0.911091336174725,1.39253856969457
"7","PV_7","enriched",10.351,0.777062914,67.11,0.962582781,30.5731383485401,0.989630319660083,0.820689517569903
"8","PV_8","enriched",7.8557,0.344302262,80.79,0.661797066,33.5079450318095,0.74964355533211,-1.53315644986229
"9","PV_9","enriched",10.8237,2.693972533,43.65,1.632140837,33.1112488134196,0.887877928676646,3.24393735754761
"10","PV_10","enriched",9.5125,2.162370107,69.38,0.897437722,33.0805460545923,0.885524784716368,1.0492242402876
"11","PV_11","enriched",11.9214,1.48062872,58.91,0.646568525,29.1146599500372,1.12688365419131,1.5489844955503
"12","PV_12","enriched",10.1107,1.798010682,58.07,0.620256696,32.5946535125363,0.98256013746546,0.733900378156804
"13","PV_13","enriched",11.8839,2.121497161,63.06,0.742460356,31.3518018054551,1.0174034442515,1.81530532019195
"14","PV_14","enriched",8.5059,1.131342037,76.12,0.549272219,31.5776689131062,0.936621548977795,-0.460748778676416
"15","PV_15","enriched",7.9849,0.571370729,81.65,0.53722407,30.7664991639019,0.943395291784859,-0.98878488622012
"16","PV_16","enriched",12.7146,2.710425685,62.17,0.910298352,28.8150301259144,0.861403948123724,2.2973761041743
"17","PV_17","control",7.7938,0.558705643,91.01,0.463673359,30.292504837714,0.80324697150766,-1.63306818182568
"18","PV_18","control",8.7568,1.070591979,84.96,0.500610288,31.8980031687722,0.70792637969916,-1.23412346705246
"19","PV_19","control",10.7376,1.828595376,64.07,0.673179191,31.1710009273099,0.764991344398326,0.366065218345752
"20","PV_20","control",10.6339,1.034174348,52.57,0.670799084,33.6744271489884,0.883179280874103,0.1679121074588
"21","PV_21","control",9.6996,1.661026261,52.89,0.629621849,30.9523536869232,0.710439231084209,-0.303169050935415
"22","PV_22","control",9.3186,1.751621862,79.68,0.595828169,30.7683479742869,0.808344679566619,-0.116503609925131
"23","PV_23","control",7.7531,1.131603404,67.46,0.534416179,29.8223736676655,0.678704142408565,-1.50944890951988
"24","PV_24","control",9.1758,1.911890625,56.89,0.575683594,33.2100368959579,0.859199390959827,0.066912362259607
"25","PV_25","control",7.6163,1.462466532,58.1,0.418253294,32.5006399353246,0.900618638153029,-0.869224574032967
"26","PV_26","control",9.3695,0.760828098,42.25,0.694330801,30.0141626344803,0.794011426966678,-0.612713605669429
"27","PV_27","control",9.0096,0.489498702,40.42,0.644280696,30.444254457589,0.713503937299042,-1.24720409366579
"28","PV_28","control",9,1.437701613,41.33,0.599193548,31.4595446159969,0.584097107833327,-1.10798617733294
"29","PV_29","control",7.6816,0.286292138,65.48,0.515412896,31.6598921712643,0.407084353699802,-2.9747772394202
"30","PV_30","control",7.6772,0.893279254,43.68,0.493753533,30.4157475287845,0.682683652029944,-1.75851845721482
"31","PV_31","control",7.3714,0.218633751,58.2,0.525294336,31.7322830887499,0.795744973840216,-1.88448539019942
"32","PV_32","control",5.7465,0.427049174,80.72,0.378177577,30.7333441741297,0.578089259681361,-3.18438561172841
